step,"Flow: (0.04) S -> E, 
inducing by: I, ","Flow: (0.01) E -> I, 
 not inducing","Flow: (0.005) I -> R, 
 not inducing"
0,"0,039603960396039604","0,0","0,005"
1,"0,03939033428095285","0,00039603960396039607","0,004975"
2,"0,03919361043522348","0,0007859825507303206","0,004952105198019802"
3,"0,03901343694777242","0,001170058829575252","0,004931274584783355"
4,"0,03884947358089185","0,001548492610757224","0,004912468506007315"
5,"0,038701391425487834","0,0019215024204585701","0,004895648626531064"
6,"0,03856887256767529","0,0022893013105088626","0,004880777895500701"
7,"0,03845160976630591","0,002652097023080527","0,0048678205125757415"
8,"0,03834930614102646","0,003010092150512781","0,004856741895128266"
9,"0,03826167487048201","0,0033634842904179175","0,004847508646405188"
10,"0,038188438900294094","0,003712466196218558","0,004840088524625251"
11,"0,038129330660458656","0,004057225923259313","0,0048344504129832185"
12,"0,03808409179182322","0,004397946970631307","0,004830564290534599"
13,"0,03805247288131609","0,004734808418843226","0,004828401203935082"
14,"0,038034233205613666","0,0050679850634679545","0,004827933240009623"
15,"0,03802914048294406","0,005397647544889412","0,0048291334991269145"
16,"0,03803697063273732","0,005723962474269958","0,004831976069355726"
17,"0,038057507542843635","0,006047092555854632","0,004836436001380297"
18,"0,03809054284405193","0,006367196705724522","0,0048424892841526694"
19,"0,03813587569165126","0,006684430167107795","0,0048501128212605285"
20,"0,03819331255378765","0,00699894462235323","0,004859284407989765"
21,"0,03826266700637802","0,007310888301667574","0,004869982709061582"
22,"0,03834375953435214","0,0076204060887146785","0,004882187237024612"
23,"0,03843641733900202","0,007927639623171053","0,004895878331283063"
24,"0,03854047415122635","0,008232727400329362","0,004911037137742503"
25,"0,03865577005046553","0,008535804867838333","0,004927645589055437"
26,"0,03878215128913028","0,008837004519664604","0,004945686385449351"
27,"0,038919470122334106","0,009136455987359262","0,004965142976120427"
28,"0,03906758464274664","0,00943428612870901","0,004985999541176622"
29,"0,03922635862039155","0,009730619113849386","0,005008240974114285"
30,"0,039395661347219155","0,01002557650891481","0,005031852864812959"
31,"0,03957536748628957","0,010319277357297851","0,005056821483033468"
32,"0,039765356925408446","0,01061183825858777","0,005083133762404789"
33,"0,03996551463506243","0,010903373445255975","0,005110777284885704"
34,"0,040175730530507194","0,01119399485715404","0,005139740265687555"
35,"0,04039589933786578","0,011483812213887572","0,005170011538644887"
36,"0,040625920464099956","0,011772933085127352","0,005201580542021101"
37,"0,04086569787072167","0,01206146295891708","0,0052344373047366315"
38,"0,0411151399511168","0,012349505308035125","0,0052685724330075335"
39,"0,041374159411357074","0,01263716165446594","0,005303977097382672"
40,"0,04164267315438034","0,012924531632034851","0,0053406430201680885"
41,"0,041920602167423764","0,013211713047258307","0,0053785624632274225"
42,"0,04220787141259753","0,013498801938459962","0,005417728216147576"
43,"0,04250440972049095","0,013785892633201338","0,005458133584759137"
44,"0,04281014968670614","0,014073077804074234","0,005499772380001348"
45,"0,04312502757121774","0,014360448522900554","0,005542638907121712"
46,"0,04344898320046037","0,014648094313383726","0,005586727955200606"
47,"0,04378195987204879","0,014936103202254492","0,005632034786991521"
48,"0,04412390426203861","0,015224561768952434","0,005678555129067836"
49,"0,0444747663346381","0,015513555193883298","0,005726285162267259"
50,"0,04483449925428472","0,015803167305290848","0,005775221512425338"
51,"0,04520305930000234","0,016093480624780786","0,0058253612413896655"
52,"0,04558040578195785","0,016384576411533","0,005876701838306621"
53,"0,04596650096013821","0,01667653470523725","0,005929241211172752"
54,"0,046361309965071484","0,01696943436778626","0,005982977678643075"
55,"0,0467648007205172","0,017263353123759113","0,006037909962088792"
56,"0,0471769438680544","0,017558367599726694","0,006094037177897142"
57,"0,0475977126934969","0,017854553362409972","0,006151358830006289"
58,"0,048027083055067976","0,018151984955720842","0,0062098748026683075"
59,"0,04846503331326822","0,018450735936714313","0,00626958535343357"
60,"0,04891154426237237","0,018750878910479853","0,006330491106349974"
61,"0,049366599063492805","0,01905248556399878","0,006392593045370622"
