step,"Flow: (0.04) S -> I, 
inducing by: I, ","Flow: (0.01) I -> R, 
 not inducing"
0,"0,039603960396039604","0,01"
1,"0,040760245404013004","0,010296039603960397"
2,"0,041949158448847106","0,010600681661960923"
3,"0,04317155226015738","0,010914166429829786"
4,"0,04442829773405507","0,011236740288133063"
5,"0,045720284060302534","0,011568655862592283"
6,"0,04704841883113769","0,011910172144569386"
7,"0,048413628130165066","0,01226155461143507"
8,"0,049816856599623635","0,01262307534662237"
9,"0,051259067484251235","0,012995013159152382"
10,"0,05274124264987266","0,013377653702403371"
11,"0,05426438257474279","0,013771289591878065"
12,"0,05582950631157679","0,014176220521706712"
13,"0,05743765141809903","0,014592753379605415"
14,"0,059089873853836884","0,015021202359990351"
15,"0,060787247840781045","0,015461889074928816"
16,"0,06253086568542363","0,01591514266258734"
17,"0,0643218375595754","0,016381299892815702"
18,"0,06616129123725129","0,016860705269483297"
19,"0,06805037178479821","0,017353711129160978"
20,"0,06999024120132555","0,01786067773571735"
21,"0,07198207800638101","0,018381973370373433"
22,"0,07402707677169974","0,01891797441673351"
23,"0,07612644759373705","0,019469065440283168"
24,"0,07828141550358027","0,020035639261817707"
25,"0,08049321981072032","0,020618097024235334"
26,"0,08276311337705129","0,021216848252100188"
27,"0,08509236181735613","0,021832310903349698"
28,"0,08748224262242986","0,022464911412489765"
29,"0,08993404420088977","0,023115084724589164"
30,"0,09244906483562415","0,023783274319352166"
31,"0,0950286115507409","0,02446993222451489"
32,"0,09767399888479293","0,025175519017777148"
33,"0,10038654756598323","0,025900503816447307"
34,"0,10316758308498612","0,026645364253942667"
35,"0,10601843416096786","0,0274105864422531"
36,"0,10894043109634907","0,028196664919440246"
37,"0,11193490401582298","0,02900410258120933"
38,"0,11500318098513516","0,029833410595555467"
39,"0,11814658600513488","0,03068510829945126"
40,"0,12136643687663771","0,0315597230765081"
41,"0,12466404293168609","0,0324577902145094"
42,"0,1280407026268679","0,03337985274168116"
43,"0,1314977009944528","0,03432646124053303"
44,"0,1350363069472327","0,03529817363807222"
45,"0,138657770433112","0,036295554971163824"
46,"0,1423633194356852","0,03731917712578331"
47,"0,14615415681726762","0,03836961854888233"
48,"0,15003145700111267","0,03944746393156618"
49,"0,15399636248985604","0,04055330386226164"
50,"0,1580499802175819","0,04168773444853759"
51,"0,1621933777333047","0,04285135690622803"
52,"0,16642757921411033","0,04404477711449879"
53,"0,17075356130670155","0,04526860513549491"
54,"0,17517224879665244","0,046523454697206985"
55,"0,17968451010528885","0,047809942638201444"
56,"0,1842911526147906","0,049128688312872315"
57,"0,18899291782284777","0,050480312955891504"
58,"0,19379047632900878","0,051865439004561066"
59,"0,1986844226557274","0,05328468937780555"
60,"0,2036752699080569","0,054738686710584766"
61,"0,2087634442769479","0,05622805254255949"
62,"0,21394927939218777","0,05775340645990338"
63,"0,21923301053217376","0,05931536518922623"
