step,"Flow: (dynamic) S -> I, 
inducing by: I, ","Flow: (0.001) I -> R, 
 not inducing"
0,"0,0","0,001"
1,"0,0","0,000999"
2,"0,00011917023474031525","0,000998001"
3,"0,00023742874283358921","0,0009971221692347404"
4,"0,00035481938954837184","0,0009963624758083391"
5,"0,00047138507988742285","0,0009957209327220791"
6,"0,000587167790604248","0,0009951965968692446"
7,"0,000702208601105197","0,0009947885680629796"
8,"0,0008165477232756017","0,0009944959880960216"
9,"0,000930224530266883","0,0009943180398312014"
10,"0,0010432775842800653","0,000994253946321637"
11,"0,0011557446633797099","0,0009943029699595954"
12,"0,0012676627873709004","0,0009944644116530155"
13,"0,0013790682427705914","0,0009947376100287334"
14,"0,001489996606903374","0,0009951219406614752"
15,"0,0016004827711504801","0,0009956168153277172"
16,"0,0017105609633796823","0,00099622168128354"
17,"0,001820264769582619","0,0009969360205656361"
18,"0,0019296271547449948","0,0009977593493146531"
19,"0,002038680482974061","0,0009986912171200835"
20,"0,0021474565369067854","0,0009997312063859374"
21,"0,0022559865364211546","0,0010008789317164583"
22,"0,0023643011566721298","0,001002134039321163"
23,"0,002472430545472885","0,001003496206438514"
24,"0,0025804043400411134","0,0010049651407775485"
25,"0,002688251683129329","0,001006540579976812"
26,"0,0027960012385573564","0,0010082222910799644"
27,"0,0029036812061643755","0,0010100100700274417"
28,"0,003011319336197208","0,0010119037411635788"
29,"0,0031189429431507866","0,0010139031567586124"
30,"0,003226578919076108","0,0010160081965450045"
31,"0,0033342537463702704","0,0010182187672675357"
32,"0,0034419935100626106","0,0010205348022466385"
33,"0,0035498239096103186","0,0010229562609544544"
34,"0,0036577702702163604","0,0010254831286031104"
35,"0,0037658575536819064","0,0010281154157447234"
36,"0,0038741103688050217","0,0010308531578826605"
37,"0,003982552981336776","0,0010336964150935827"
38,"0,00409120932350545","0,001036645271659826"
39,"0,004200103003119045","0,0010396998357116716"
40,"0,004309257312255839","0,0010428602388790791"
41,"0,004418695235552241","0,001046126635952456"
42,"0,0045284394580968525","0,0010494992045520558"
43,"0,004638512372939096","0,0010529781448056007"
44,"0,004748936088220527","0,0010565636790337341"
45,"0,0048597324339364235","0,0010602560514429208"
46,"0,004970922968334972","0,001064055527825414"
47,"0,005082528983960941","0,0010679623952659237"
48,"0,005194571513350425","0,0010719769618546186"
49,"0,0053070713343829545","0,0010760995564061144"
50,"0,005420048975296831","0,0010803305281840913"
51,"0,00553352471937334","0,0010846702466312042"
52,"0,005647518609295189","0,0010891191011039463"
53,"0,005762050451184181","0,0010936775006121376"
54,"0,005877139818322915","0,0010983458735627097"
55,"0,005992806054564999","0,0011031246675074697"
56,"0,00610906827743809","0,0011080143488945272"
57,"0,0062259453809436725","0,0011130154028230709"
58,"0,006343456038057491","0,0011181283328011913"
59,"0,006461618702934072","0,0011233536605064476"
60,"0,006580451612818778","0,0011286919255488752"
61,"0,006699972789670487","0,0011341436852361452"
62,"0,006820200041497871","0,0011397095143405793"
63,"0,006941150963412022","0,0011453900048677367"
64,"0,007062842938398027","0,001151185765826281"
